date,cate,source,pv,uv
2016-2-25,频道页:food,APP,2559,1585
2016-2-25,频道页:food,WEB,28367,21424
2016-2-25,频道页:fruit,WEB,47017,32791
2016-2-25,频道页:milk,APP,1779,1128
2016-2-25,频道页:milk,WEB,21103,16499
2016-2-25,频道页:nianhuo,WEB,3998,2784
2016-2-25,频道页:nianhuo,APP,3,3
2016-2-25,频道页:snack,APP,2547,1574
2016-2-25,频道页:snack,WEB,24637,19052
2016-2-25,频道首页,APP,3201,118
2016-2-25,频道首页,WEB,182989,81320
2016-2-26,频道页:food,APP,2914,1648
2016-2-25,频道页:fruit,APP,2941,1641
2016-2-26,频道页:food,WEB,20206,14398
2016-2-26,频道页:fruit,APP,3481,1709
2016-2-26,频道页:jsd-food,APP,106,8
2016-2-26,频道页:fruit,WEB,32469,21235
2016-2-26,频道页:jsd-milk,APP,57,8
2016-2-26,频道页:app-shouye,APP,3651,1685
2016-2-26,频道页:jsd-snack,APP,68,8
2016-2-26,频道页:milk,APP,2167,1272
2016-2-25,频道页:app-shouye,APP,3134,1604
2016-2-26,频道页:milk,WEB,14927,11350
2016-2-26,频道页:nianhuo,APP,5,5
2016-2-26,频道页:nianhuo,WEB,2466,1695
2016-2-26,频道页:snack,APP,2905,1646
2016-2-26,频道页:snack,WEB,17286,12910
2016-2-26,频道首页,APP,121,59
2016-2-26,频道首页,WEB,111833,43101
2016-2-27,频道页:app-shouye,APP,3020,1501
2016-2-27,频道页:food,APP,2549,1495
2016-2-27,频道页:food,WEB,29285,21683
2016-2-27,频道页:fruit,APP,2978,1559
2016-2-27,频道页:fruit,WEB,43819,30517
2016-2-27,频道页:jsd-food,APP,101,13
2016-2-27,频道页:jsd-milk,APP,63,7
2016-2-27,频道页:jsd-snack,APP,68,7
2016-2-27,频道页:milk,APP,1780,1103
2016-2-27,频道页:milk,WEB,20548,16147
2016-2-27,频道页:nianhuo,APP,1,1
2016-2-27,频道页:nianhuo,WEB,2739,2064
2016-2-27,频道页:snack,APP,2535,1500
2016-2-27,频道页:snack,WEB,24719,19020
2016-2-27,频道首页,APP,176,87
2016-2-27,频道首页,WEB,151985,64514
2016-2-28,频道页:app-shouye,APP,4178,1963
2016-2-28,频道页:drink,APP,629,393
2016-2-28,频道页:drink,WEB,2794,2262
2016-2-28,频道页:food,APP,3354,1920
2016-2-28,频道页:food,WEB,22169,15963
2016-2-28,频道页:fruit,APP,3905,1983
2016-2-28,频道页:fruit,WEB,32598,21998
2016-2-28,频道页:jsd-food,APP,32,7
2016-2-28,频道页:jsd-milk,APP,8,3
2016-2-28,频道页:jsd-snack,APP,9,3
2016-2-28,频道页:milk,APP,2427,1425
2016-2-28,频道页:milk,WEB,15416,11894
2016-2-28,频道页:nianhuo,APP,2,2
2016-2-28,频道页:nianhuo,WEB,2307,1635
2016-2-28,频道页:snack,APP,3334,1911
2016-2-28,频道页:snack,WEB,18979,14129
2016-2-28,频道首页,APP,137,62
2016-2-28,频道首页,WEB,118027,45987
